Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
MRF,146175.0,4856.6,146280.99,12:52:23
MRPL,147.8,10526601.0,147.71,13:04:13
MSUMI,61.55,5602027.29,61.56,13:04:13
MUTHOOTFIN,2650.1,204851.71,2646.63,13:04:13
NAM-INDIA,801.85,373239.0,803.28,13:04:13
NATCOPHARM,956.7,4022099.12,959.41,13:04:13
NATIONALUM,192.69,6988506.29,192.82,13:04:13
NAUKRI,1452.4,481013.0,1454.5,13:04:13
NAVA,610.55,619773.12,611.6,13:04:13
NAVINFLUOR,4914.3,38414.83,4908.37,13:04:17
NBCC,118.19,5668184.5,118.43,13:04:17
NCC,226.05,1552535.43,226.19,13:04:17
NESTLEIND,2395.9,310883.62,2397.79,13:04:17
NETWEB,1868.2,97941.57,1868.16,12:52:26
NETWORK18,57.35,2909775.33,57.27,12:52:26
NEULANDLAB,11683.0,45123.29,11662.99,12:52:26
NEWGEN,1133.3,107732.5,1134.12,12:52:26
NH,2027.6,1766259.78,2042.66,13:04:17
NHPC,85.03,3452134.5,85.22,13:04:17
NIACL,186.97,197119.75,187.24,13:04:17
NIVABUPA,81.94,449126.0,81.85,13:04:17
NLCINDIA,226.19,576512.0,226.68,13:04:17
NMDC,69.24,27193761.0,69.26,13:04:17
NSLNISP,40.78,2269066.86,40.89,13:04:17
NTPC,335.05,10590258.29,335.13,13:04:17
NTPCGREEN,106.54,2178945.33,106.31,13:04:21
NUVAMA,8132.5,98172.67,8207.1,13:04:21
NYKAA,203.69,50453614.86,203.34,13:04:21
OBEROIRLTY,1887.4,263305.75,1889.28,13:04:21
OFSS,9080.0,54633.8,9077.71,12:58:20
OIL,450.0,5321081.17,449.76,13:04:21
OLAELEC,40.94,44421838.17,40.93,12:58:20
OLECTRA,1212.0,108704.6,1215.86,13:04:21
ONGC,243.95,9024169.86,244.31,13:04:21
PAGEIND,48445.0,5904.0,48326.05,13:04:21
PATANJALI,1659.2,739411.0,1658.22,13:04:21
PAYTM,929.65,1352763.43,926.54,13:04:21
PCBL,412.65,228118.33,412.47,13:04:21
PEL,1162.8,194952.86,1163.69,13:04:21
PERSISTENT,5979.0,121609.14,5982.19,13:04:21
PETRONET,301.35,2167864.71,301.27,13:04:21
PFC,416.2,2725974.57,417.21,13:04:24
PFIZER,5712.0,24934.14,5711.94,13:04:24
PGEL,757.8,1163408.25,750.73,13:04:24
PHOENIXLTD,1505.3,1222787.25,1511.15,12:58:23
PIDILITIND,3113.5,223630.0,3113.77,13:04:24
PIIND,4232.0,70606.57,4228.88,12:58:23
PNB,111.05,28600005.5,111.11,12:58:23
PNBHOUSING,1082.5,326616.86,1082.11,12:46:33
PNCINFRA,305.8,101276.75,306.4,13:04:24
POLICYBZR,1808.5,538407.67,1813.41,13:04:24
POLYCAB,6840.0,176622.4,6856.5,13:04:24
POLYMED,2249.3,60158.67,2248.77,13:04:24
POONAWALLA,466.0,534148.67,466.19,13:04:24
POWERGRID,294.1,5093900.71,294.62,13:04:25
POWERINDIA,19685.0,58836.33,19689.79,13:04:25
