symbol,stock_name,market_cap_type,category,threshold%,days_check,sector,business_domain,volatility_category,avg_daily_volume_category,,,comments
TORNTPHARM,,Large_Cap,B,300,1,,,,,,,
TORNTPOWER,,Mid_Cap,A,400,1,,,,,,,
TRENT,,Large_Cap,A,200,1,,,,,,,
TRIDENT,,Small_Cap,A,500,1,,,,,,,
TRITURBINE,,Small_Cap,A,500,1,,,,,,,
TRIVENI,,Small_Cap,A,500,1,,,,,,,
TTML,,Small_Cap,A,500,1,,,,,,,
TVSMOTOR,,Large_Cap,B,300,1,,,,,,,
UBL,,Mid_Cap,B,400,1,,,,,,,
UCOBANK,,Small_Cap,A,500,1,,,,,,,
ULTRACEMCO,,Large_Cap,A,200,1,,,,,,,
UNIONBANK,,Mid_Cap,B,400,1,,,,,,,
UNITDSPR,,Large_Cap,B,300,1,,,,,,,
UNOMINDA,,Mid_Cap,B,400,1,,,,,,,
UPL,,Mid_Cap,B,400,1,,,,,,,
USHAMART,,Small_Cap,A,500,1,,,,,,,
UTIAMC,,Small_Cap,A,500,1,,,,,,,
VBL,,Large_Cap,B,300,1,,,,,,,
VEDL,,Large_Cap,B,300,1,,,,,,,
VGUARD,,Small_Cap,A,500,1,,,,,,,
VIJAYA,,Small_Cap,A,500,1,,,,,,,
VMM,,Mid_Cap,B,400,1,,,,,,,
VOLTAS,,Mid_Cap,A,400,1,,,,,,,
